zone,horizon,model,MAE,RMSE,MAPE
nacional,hourly,CNN-LSTM,313881.3493862242,324094.979193515,inf
Peninsule_Iberique,daily,LSTM,7322883.352954426,7482099.821616322,99.99497053887389
Peninsule_Iberique,daily,GRU,7322877.145228324,7482093.745552462,99.99483665161358
Peninsule_Iberique,daily,CNN,2069328.2180755397,2326046.231580726,70.49741209180704
Peninsule_Iberique,daily,CNN-LSTM,7322876.865282621,7482093.471555125,99.99483060633376
Peninsule_Iberique,hourly,LSTM,298056.18445838185,307250.63377589436,inf
Peninsule_Iberique,hourly,GRU,297937.0641539319,307248.39986656775,inf
Peninsule_Iberique,hourly,CNN,16243.165472172757,29426.000793821546,inf
Peninsule_Iberique,hourly,CNN-LSTM,298060.17504284176,307253.0641506106,inf
Tenerife,daily,LSTM,9042.666689943602,9210.794287459095,95.90319664037604
Tenerife,daily,GRU,9035.943890326851,9204.194292903847,95.7850804706167
Tenerife,daily,CNN,1336.4783159214815,1989.7420294429692,70.05162490984314
Tenerife,daily,CNN-LSTM,9038.128951719875,9206.33942320623,95.82347013969795
Tenerife,hourly,LSTM,8.108177598386588,18.359431800544847,inf
Tenerife,hourly,GRU,9.033909326942355,18.908253627221725,inf
Tenerife,hourly,CNN,14.175845921940414,26.059670658827596,inf
Tenerife,hourly,CNN-LSTM,7.575824376311281,18.11203344332167,inf
